Employee_ID,Age,Gender,Department,Job_Role,Education,Experience_Years,Monthly_Salary,Performance_Rating,Attendance_Percentage,Training_Hours,Promotions_Last_5_Years,Attrition
1,59,Other,Operations,Manager,Post Graduate,2,22769,4,80.82,73,2,No
2,49,Female,Sales,Associate,High School,22,23989,5,67.65,2,2,Yes
3,35,Other,HR,Manager,Diploma,13,76090,5,93.32,42,1,No
4,28,Other,IT,Senior Manager,Diploma,5,140377,3,66.72,36,0,No
5,41,Male,Finance,Executive,Post Graduate,32,119323,1,71.6,85,2,Yes
6,59,Female,Finance,Team Lead,PhD,8,93468,2,83.1,56,2,Yes
7,39,Male,HR,Associate,Post Graduate,11,133622,4,64.93,24,1,No
8,43,Male,Sales,Senior Manager,High School,34,71471,1,84.98,3,1,No
9,31,Female,Operations,Manager,Graduate,30,57028,5,97.77,57,0,No
10,31,Male,Operations,Senior Manager,Post Graduate,2,89051,5,87.66,36,0,No
11,44,Female,Marketing,Senior Manager,High School,12,133020,2,92.51,7,0,No
12,56,Female,Sales,Analyst,Diploma,12,58054,3,77.54,93,2,Yes
13,44,Male,Operations,Executive,PhD,33,149916,2,74.61,8,3,Yes
14,23,Male,Sales,Associate,PhD,20,24903,2,73.14,78,3,Yes
15,42,Other,Finance,Analyst,Post Graduate,33,58640,1,86.42,0,1,No
16,22,Male,Finance,Executive,Graduate,27,23494,3,80.74,12,2,No
17,44,Female,Marketing,Senior Manager,Post Graduate,34,94770,5,78.89,67,0,No
18,50,Other,Finance,Executive,PhD,13,126455,3,64.03,15,2,No
19,58,Female,Sales,Manager,PhD,17,146407,1,86.93,43,1,Yes
20,22,Other,HR,Associate,Diploma,18,98798,1,89.02,64,2,No
21,41,Male,Marketing,Analyst,Graduate,18,49620,2,67.85,13,0,No
22,53,Male,HR,Associate,Graduate,32,19755,1,90.39,90,0,No
23,32,Male,Sales,Senior Manager,PhD,34,126203,3,95.18,25,0,Yes
24,42,Female,Marketing,Manager,PhD,19,22788,2,66.98,31,0,No
25,45,Other,HR,Executive,Post Graduate,28,99049,2,78.08,1,1,No
26,47,Female,Marketing,Executive,Post Graduate,7,85668,2,95.05,15,1,No
27,48,Other,Sales,Manager,Diploma,24,65120,3,79.49,91,3,No
28,36,Male,Operations,Executive,PhD,16,41532,2,92.61,48,0,No
29,35,Female,Marketing,Analyst,Post Graduate,0,33909,4,68.63,89,1,Yes
30,23,Male,Operations,Team Lead,Diploma,29,99266,4,62.56,74,3,No
31,57,Female,Sales,Executive,Graduate,27,15749,3,62.38,22,0,No
32,27,Male,Marketing,Senior Manager,PhD,32,31049,5,98.89,93,3,No
33,41,Female,Marketing,Executive,High School,12,144745,5,66.59,59,2,No
34,29,Female,Operations,Associate,PhD,23,17915,2,94.6,94,2,No
35,59,Other,Finance,Senior Manager,Post Graduate,21,76409,3,72.63,65,2,No
36,38,Male,Operations,Executive,PhD,12,93245,2,61.6,19,3,No
37,24,Other,Operations,Executive,High School,11,123881,2,69.64,92,1,No
38,45,Other,Operations,Senior Manager,PhD,6,70877,4,80.22,73,0,No
39,34,Male,Sales,Analyst,Post Graduate,28,32817,1,64.27,17,2,No
40,29,Female,IT,Team Lead,Graduate,28,146152,3,96.89,58,1,No
41,46,Other,Operations,Team Lead,Post Graduate,25,57462,1,96.0,30,1,No
42,22,Male,Marketing,Analyst,Diploma,26,102425,4,65.97,3,1,No
43,40,Female,HR,Executive,Post Graduate,23,70330,1,89.48,26,3,No
44,48,Other,Finance,Team Lead,Diploma,30,144524,4,78.43,17,1,No
45,27,Other,Operations,Analyst,PhD,6,39759,5,99.29,62,0,No
46,28,Other,Operations,Analyst,Diploma,16,134341,4,62.22,94,1,No
47,55,Female,Finance,Team Lead,PhD,32,65439,3,78.84,70,1,No
48,34,Other,Operations,Senior Manager,Diploma,33,22793,5,71.42,18,0,No
49,37,Female,Marketing,Manager,Post Graduate,17,90610,2,89.06,38,0,No
50,56,Other,IT,Senior Manager,High School,4,64433,3,64.45,65,2,No
51,24,Male,Operations,Executive,PhD,0,121912,3,85.12,77,3,Yes
52,22,Other,Finance,Senior Manager,Diploma,6,124795,3,97.92,99,0,No
53,26,Male,Operations,Associate,High School,33,34347,1,78.16,45,1,Yes
54,24,Male,Sales,Manager,Diploma,2,36983,1,78.17,91,2,No
55,49,Male,Marketing,Manager,Diploma,34,97596,2,79.83,37,0,No
56,38,Female,Marketing,Analyst,Diploma,11,114428,1,76.63,66,0,No
57,46,Male,IT,Associate,Post Graduate,14,91018,3,77.9,28,2,Yes
58,54,Other,Sales,Executive,Diploma,3,88303,4,78.53,90,3,No
59,30,Female,Sales,Analyst,High School,32,101142,2,99.92,56,0,No
60,56,Male,IT,Senior Manager,Diploma,15,52482,2,64.66,47,2,No
61,34,Female,HR,Senior Manager,Graduate,28,139302,3,71.41,51,1,No
62,51,Female,Operations,Team Lead,PhD,5,122251,5,68.43,47,0,No
63,35,Female,Sales,Analyst,Post Graduate,22,134559,1,81.77,60,1,No
64,28,Other,HR,Associate,Graduate,12,143612,5,60.11,66,2,No
65,34,Male,HR,Analyst,Graduate,0,146000,3,96.84,47,3,Yes
66,43,Female,Marketing,Analyst,High School,11,117140,5,81.24,93,0,No
67,41,Female,Operations,Analyst,High School,26,104229,3,95.84,81,3,No
68,36,Female,Marketing,Manager,Post Graduate,24,134162,1,73.8,7,0,No
69,38,Male,Finance,Team Lead,Post Graduate,21,46018,1,66.0,73,3,No
70,44,Female,Marketing,Executive,PhD,33,140872,2,67.69,85,1,No
71,46,Female,Sales,Executive,Diploma,17,138371,5,78.83,87,2,No
72,45,Other,Sales,Executive,Post Graduate,15,15683,5,61.61,66,3,No
73,49,Male,Operations,Manager,Post Graduate,28,66104,5,91.27,13,0,No
74,35,Other,HR,Team Lead,Diploma,29,121213,5,91.63,46,3,No
75,21,Male,Sales,Associate,PhD,29,89988,4,88.08,23,1,No
